style-scope src,style-scope,yt-simple-endpoint href,yt-simple-endpoint,yt-simple-endpoint href 3,yt-core-attributed-string,yt-core-attributed-string__link,yt-core-attributed-string__link href,style-scope 3,yt-core-attributed-string 3
https://yt3.ggpht.com/HW0QGw0S9wS5TPOPIlawwnx_nfJ-x_DAsCEODVtN8odmHd6sxk6kus3eecXJsUBmsulx1WFT_w=s88-c-k-c0x00ffffff-no-rj,@harryhunter1540,https://www.youtube.com/@harryhunter1540,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwQbbIzbQWJop2N4p14AaABAg,"this guy, sat for 6 hours and talked about python, and then released it for free. legend",,,14K,119 replies
https://yt3.ggpht.com/ytc/AIdro_k_Oz7i7Nkjo2Md366DWeJdfzNuDN2UMZDMy1KWMg4SEg=s88-c-k-c0x00ffffff-no-rj,@ArthurMorgan-jg3cj,https://www.youtube.com/@ArthurMorgan-jg3cj,3 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwXdo1J7Uc8ZDq4cwl4AaABAg,If u ever feel useless in life just remember there are idiotic fools that dislike a 6 hour video of a man teaching how to use python for absolutley free,,,21K,171 replies
https://yt3.ggpht.com/uDQHZ98ZRuHBTDDkqu0KXBsZ0SCaAflcR0AH6iBUSdA_z4jgv35tdqG8NmH-owwIvngDFNSBxQ=s88-c-k-c0x00ffffff-no-rj,@Hagu-maru,https://www.youtube.com/@Hagu-maru,8 days ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwHNA59OhQ8n4wARuZ4AaABAg,"timestamp code:

temp = int(input(""Enter the temperature: ""))

if (temp > 30):
    print(""It's a hot day"")

elif (temp < 10):
    print(""It's a cold day"")

else:
    print(""It's neither hot nor cold"")",01:11:38,https://www.youtube.com/watch?v=_uQrJ0TkZlc&t=4298s,,5 replies
https://yt3.ggpht.com/ytc/AIdro_lUTgFKk0QK9gWXnn47id-7_URBzWU5FVGL8Bi0YMiwew=s88-c-k-c0x00ffffff-no-rj,@technomaestro6092,https://www.youtube.com/@technomaestro6092,3 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxitmhK6b0xNeRvJzR4AaABAg,This course has literally changed my life. 2 years ago i started learning python from this course and now i am a software engineer intern at a great startup. Thanks Mosh️,,,4.7K,63 replies
https://yt3.ggpht.com/HCv0fXFEEcD0HRyF0_qR1K7b7qO3KCzmIoyH1DEJYB94CIUFhIE5i2t2IDIPX97W1-DK4hegww=s88-c-k-c0x00ffffff-no-rj,,https://www.youtube.com/@programmingwithmosh,10 months ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugw3FYAZ-bY5LF8vehJ4AaABAg&pp=0gcJCSMANpG00pGi,"Guys, I'm so sorry! I just realized the link to download the spreadsheet was broken. I just fixed it. Thanks for your patience!",,,1.2K,45 replies
https://yt3.ggpht.com/ytc/AIdro_kNZEA-zv5-zG358dNLe0cGBkfvrzy_KCrcgKH7_56mxBE=s88-c-k-c0x00ffffff-no-rj,@IceTeaCrackHead,https://www.youtube.com/@IceTeaCrackHead,2 years ago (edited),https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxogzplfCU4wwPf3e94AaABAg,"I've known this man only for 6 hours, but I feel like I owe him 6 decades of gratitude. Thankyou for this awesome tutorial!",,,1.2K,5 replies
https://yt3.ggpht.com/ytc/AIdro_kjND8U1TiPEw_nk7wHVRzjEfaU_vW2mZ6uU0PTBL6yiuvUWRvQQNsfIOn_RS_2JkLdcA=s88-c-k-c0x00ffffff-no-rj,@delandngong4165,https://www.youtube.com/@delandngong4165,1 month ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugw1LtaKcmv_l53sD4x4AaABAg&pp=0gcJCSMANpG00pGi,"To anyone who just started watching, i just finished it and it is worth it. Don't give up.",,,151,1 reply
https://yt3.ggpht.com/ytc/AIdro_lGRc-05M2OoE1ejQdxeFhyP7OkJg9h4Y-7CK_5je3QqFI=s88-c-k-c0x00ffffff-no-rj,@freecodecamp,https://www.youtube.com/@freecodecamp,6 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxAGHE9XCBSGib1Dd54AaABAg,"Wow, this looks like a great course!",,,13K,185 replies
https://yt3.ggpht.com/ytc/AIdro_lBGIIlhyNcJXO_ka1nLvVp3Ic8zGoXirSP22XEClVcyzE=s88-c-k-c0x00ffffff-no-rj,@almerinobuce7878,https://www.youtube.com/@almerinobuce7878,8 months ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgzSqZK9YwksHW0R_TV4AaABAg,"The Year is 2024, and i just finished the tutorial, it is real awesome and a huge start for python world.
Thanks Mosh and congratulations",,,255,3 replies
https://yt3.ggpht.com/ytc/AIdro_ntywUXJiu3XIQ4_o4VQQ-zE0u3wyzQpILsGNo1v53UbGo=s88-c-k-c0x00ffffff-no-rj,@shamsadjahan5566,https://www.youtube.com/@shamsadjahan5566,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxvgFUFacwB6PJ3EgR4AaABAg,"Honestly, this guy is incredible. He explains everything soo precisely and efficiently without any unnecessary information. Thanks a lot for this video. You made my life easier.",,,294,2 replies
https://yt3.ggpht.com/G8eYImx9NPC883PKS00HnTM7hEyEUsY5RoIa-HAR3bOEmC1mMBbvTjeF0vjo3A4ZYJnEwkPHTew=s88-c-k-c0x00ffffff-no-rj,@InfinityInspire50,https://www.youtube.com/@InfinityInspire50,2 months ago (edited),https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxpxrLGRp_LhsCmZo14AaABAg,"Introduction
 Installing Python 3
 Your First Python Program
 How Python Code Gets Executed 
 How Long It Takes To Learn Python 
 Variables
 Receiving Input
 Python Cheat Sheet
 Type Conversion
 Strings
 Formatted Strings
 String Methods
 Arithmetic Operations
 Operator Precedence
 Math Functions
 If Statements
 Logical Operators
 Comparison Operators
 Weight Converter Program 
 While Loops
 Building a Guessing Game
 Building the Car Game
 For Loops
 Nested Loops
 Building a Guessing Game
 Building the Car Game
 For Loops
 Nested Loops
 Lists
 2D Lists
 My Complete Python Course 
 List Methods
 Tuples
 Unpacking
 Dictionaries
 Emoji Converter
 Functions
 Parameters
 Keyword Arguments 
 Return Statement
 Creating a Reusable Function 
 Exceptions
 Comments
 Classes
 Constructors
 Inheritance
 Modules
 Packages
 Generating Random Values
 Working with Directories 
 Pypi and Pip
 Project 1: Automation with Python
 Project 2: Machine Learning with Python 
 Project 3: Building a Website with Django",00:00:00,https://www.youtube.com/watch?v=_uQrJ0TkZlc,31,
https://yt3.ggpht.com/ytc/AIdro_nrOfkHE2aB9aLHHcHb_qTue7sHeP5GoJj7PPRCw5bMbA=s88-c-k-c0x00ffffff-no-rj,@dangit5640,https://www.youtube.com/@dangit5640,3 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugwj1YZ6GClhS8hnaxx4AaABAg,he did all this hard work and sent it to the internet for free. and he doesn't get too much but what he gets is RESPECT and credit for bringing new aspiring programmers to earth,,,849,11 replies
https://yt3.ggpht.com/ytc/AIdro_m_di8TL1E2E4kFhWVu06HDQhF_RME5CnvPcl5FQjjCSew=s88-c-k-c0x00ffffff-no-rj,@johnnhaas,https://www.youtube.com/@johnnhaas,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgwaD-JiRRJDW4F5vL94AaABAg,"I am 89 years old,  and have been a retired backend developer for about 15 years.  I'm bored out of my mind, so I thought I could learn something new. I had expert level skills with SQL Server Reporting Services (SSRS), SQL, T-SQL and PL/SQL, Stored Procedures and Packages. I was an expert in ETL as well as DTS.  If I can work from home, it should remove the overwhelming stigma of age bias.  We'll see how it goes.",,,1.3K,90 replies
https://yt3.ggpht.com/ytc/AIdro_my_Q8E6z1tGmEvR3do2vahpmtcQRQbjsr8x9XUGhdFzRbfOBSM4d22iNmTU-9tq70Fcg=s88-c-k-c0x00ffffff-no-rj,@cman3893,https://www.youtube.com/@cman3893,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugx_y7hrGpK4ZTgsa754AaABAg,"To find this whole course freely available on YouTube is such a gift. Seriously, you cover a LOT of ground. Thank you for all your hard work on this!",,,145,1 reply
https://yt3.ggpht.com/FS6mmDrDXnE5RflT0pVf-DrD7xXdtqCsrY-oylHIJegPCcO5ONUF_DAG6jCO5Z4_5gEtjwc8=s88-c-k-c0x00ffffff-no-rj,@osmanparlakx,https://www.youtube.com/@osmanparlakx,1 month ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugyvut8Lz5CDFVN95_J4AaABAg,"numbers = [5,2,5,2,2]
for a in numbers:
    print(""x"" * a)",01:55:19,https://www.youtube.com/watch?v=_uQrJ0TkZlc&t=6919s,,
https://yt3.ggpht.com/NVGQXt1sfwu1mX3RBtKdm4FY35PJP4YgOevBQPubBxspVDh7ZhA0KZN11KCYLqR6u3VZkoLd=s88-c-k-c0x00ffffff-no-rj,@christiannaira6076,https://www.youtube.com/@christiannaira6076,2 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgyBZdlAMShnF4BqVcd4AaABAg,"This 6 hours course widen my knowledge in python, and I consider it as a warm up for my future learning . I finished the course in two months by repeating the lessons over and over again until I understand it haha. Thank you for this programming course! it really helps a lot!",,,242,3 replies
https://yt3.ggpht.com/ytc/AIdro_mqp3p2DHxd13qRM1tqTRkKwigTNxJf3ewPpYYI09E-6A=s88-c-k-c0x00ffffff-no-rj,@varieous493,https://www.youtube.com/@varieous493,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxXrJGsdU9mLXA-KE94AaABAg,Anyone else regret they didn't start this during early quarantine?,,,7.3K,215 replies
https://yt3.ggpht.com/38KEoicSrppAyQMAV5jdvfxYE9c85UK_j2u8JjfcN4-77bSFrR3W0TB_VUiyR1kdqYIH4hc5MA=s88-c-k-c0x00ffffff-no-rj,@mutemathfan,https://www.youtube.com/@mutemathfan,4 years ago (edited),https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgyihtUIgPpRrQPm0Nd4AaABAg,"(VERY IMPORTANT TIP FOR PEOPLE WATCHING!)
   Do not try watching the entire video at once. Limit your watch time from 30 or 60 minutes each day and make sure to participate and understand the code. This will take around a week to complete, but it will save you from feeling like you're not good enough. Don't rush yourself. Limit and pay attention!

EDIT: It also helps if you take notes or take a picture of the final result of the lesson. It is very helpful to look at when you're away from your computer. If you forget, you have a chance to examine the code and see how and why things work.",,,2K,68 replies
https://yt3.ggpht.com/0wPqFf1_N0q0Yf61_B3oq2a73GJaNwU9nDPAQu6pqvSsns_vE00QOYCww1HJoEsGjNk9Fgyi=s88-c-k-c0x00ffffff-no-rj,@tayyab.sheikh,https://www.youtube.com/@tayyab.sheikh,1 month ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgymdeuvugqoKAmrOO14AaABAg,"pattern = [5,2,5,2,2]
for i in range(len(pattern)):
    print(pattern[i] * '*')",01:55:15,https://www.youtube.com/watch?v=_uQrJ0TkZlc&t=6915s,,
https://yt3.ggpht.com/yG0jYMGXAwCDEgcWVSQqKD_qS45SHOImhqQEv-tOaYNjodcAvYQLHvXpk7slm4SDm00sgvQxUg=s88-c-k-c0x00ffffff-no-rj,@justlaugh9578,https://www.youtube.com/@justlaugh9578,3 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugy7cFY2IoBJ6KMKi1d4AaABAg,"This guy is a legend. He is teaching python for free. 
Respect him.
Thank you sir!!!!",,,777,10 replies
https://yt3.ggpht.com/ytc/AIdro_mQaXWj0XHkKOhWOdRne3zkwqQRQq-Ojzd2MHYjrg96nAc=s88-c-k-c0x00ffffff-no-rj,@glyph-x4670,https://www.youtube.com/@glyph-x4670,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugxa-PlhRpKmSaobzIJ4AaABAg,"TABLE OF CONTENT

 Introduction
 Installing Python 3
 Your First Python Program
 How Python Code Gets Executed 
 How Long It Takes To Learn Python 
 Variables
 Receiving Input
 Python Cheat Sheet
 Type Conversion
 Strings
 Formatted Strings
 String Methods
 Arithmetic Operations
 Operator Precedence
 Math Functions
 If Statements
 Logical Operators
 Comparison Operators
 Weight Converter Program 
 While Loops
 Building a Guessing Game
 Building the Car Game
 For Loops
 Nested Loops
 Lists
 2D Lists
 My Complete Python Course 
 List Methods
 Tuples
 Unpacking
 Dictionaries
 Emoji Converter
 Functions
 Parameters
 Keyword Arguments 
 Return Statement
 Creating a Reusable Function 
 Exceptions
 Comments
 Classes
 Constructors
 Inheritance
 Modules
 Packages
 Generating Random Values
 Working with Directories 
 Pypi and Pip
 Project 1: Automation with Python
 Project 2: Machine Learning with Python 
 Project 3: Building a Website with Django",00:00:00,https://www.youtube.com/watch?v=_uQrJ0TkZlc,394,23 replies
https://yt3.ggpht.com/ytc/AIdro_n9dV26MJLcQONEqNL8TQx5y46F7ufN4FjUyrUE0-AMsQ=s88-c-k-c0x00ffffff-no-rj,@dontbetoxic4387,https://www.youtube.com/@dontbetoxic4387,4 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgxpjhHGZGDKtx1PhnZ4AaABAg,"Introduction
 Installing Python 3
 Your First Python Program
 How Python Code Gets Executed 
 How Long It Takes To Learn Python 
 Variables
 Receiving Input
 Python Cheat Sheet
 Type Conversion
 Strings
 Formatted Strings
 String Methods
 Arithmetic Operations
 Operator Precedence
 Math Functions
 If Statements
 Logical Operators
 Comparison Operators
 Weight Converter Program 
 While Loops
 Building a Guessing Game
 Building the Car Game
 For Loops
 Nested Loops
 Lists
 2D Lists
 My Complete Python Course 
 List Methods
 Tuples
 Unpacking
 Dictionaries
 Emoji Converter
 Functions
 Parameters
 Keyword Arguments 
 Return Statement
 Creating a Reusable Function 
 Exceptions
 Comments
 Classes
 Constructors
 Inheritance
 Modules
 Packages
 Generating Random Values
 Working with Directories 
 Pypi and Pip
 Project 1: Automation with Python
 Project 2: Machine Learning with Python 
 Project 3: Building a Website with Django
 Introduction
 Installing Python 3
 Your First Python Program
 How Python Code Gets Executed 
 How Long It Takes To Learn Python 
 Variables
 Receiving Input
 Python Cheat Sheet
 Type Conversion
 Strings
 Formatted Strings
 String Methods
 Arithmetic Operations
 Operator Precedence
 Math Functions
 If Statements
 Logical Operators
 Comparison Operators
 Weight Converter Program 
 While Loops
 Building a Guessing Game
 Building the Car Game
 For Loops
 Nested Loops
 Lists
 2D Lists
 My Complete Python Course 
 List Methods
 Tuples
 Unpa lib",00:00:00,https://www.youtube.com/watch?v=_uQrJ0TkZlc,289,17 replies
https://yt3.ggpht.com/0wPqFf1_N0q0Yf61_B3oq2a73GJaNwU9nDPAQu6pqvSsns_vE00QOYCww1HJoEsGjNk9Fgyi=s88-c-k-c0x00ffffff-no-rj,@tayyab.sheikh,https://www.youtube.com/@tayyab.sheikh,1 month ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=Ugxncb15850K6Q5ltGp4AaABAg,"import random

class Dice:
    def roll(self):
        firstval = random.randint(1,6)
        secondval = random.randint(1,6)
        return tuple([firstval, secondval])
        
instance = Dice()
ans = instance.roll()
print(ans)",03:42:18,https://www.youtube.com/watch?v=_uQrJ0TkZlc&t=13338s,3,
https://yt3.ggpht.com/ytc/AIdro_mZUGgkIS6gALSxWhVrLXjwEUWtz015PoGsp1BZeFdnCZE=s88-c-k-c0x00ffffff-no-rj,@chupapimunano6920,https://www.youtube.com/@chupapimunano6920,3 years ago (edited),https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgzCqm-EMjsEBcdDN2V4AaABAg&pp=0gcJCSMANpG00pGi,"Note: On  to access the emoji on windows, i found it to be widows key + period ( . ) = emoji icon list. good luck future programmers, maybe well meet in the future.",02:28:30,https://www.youtube.com/watch?v=_uQrJ0TkZlc&t=8910s,125,14 replies
https://yt3.ggpht.com/IKZdbICfGNshM6xAQ55PonqDLj_GQfPliNpjC35SMGKl76-u9LFjKr0qTdyfGZr1y3MNZXfdEg=s88-c-k-c0x00ffffff-no-rj,@Dexcelo,https://www.youtube.com/@Dexcelo,2 years ago,https://www.youtube.com/watch?v=_uQrJ0TkZlc&lc=UgySV2mWYgclHgw0aoh4AaABAg,"Can we just take a moment to appreciate this guy for providing this type of content for free ? great help, Thank you sir!",,,1.3K,9 replies
